Parameter Estimation Task

Problem Description:
Subtask: 
Time-Course Task

Problem Description:
    StepNumber: 1
    StepSize: 60
    Duration: 60
    TimeSeriesRequested: 1
    OutputStartTime: 0
    Output Event: 0
    Continue on Simultaneous Events: 1

Method: Deterministic (LSODA)
    Integrate Reduced Model: 0
    Relative Tolerance: 1e-009
    Absolute Tolerance: 1e-009
    Max Internal Steps: 10000


List of Fitting Items:
    1e-06 <= Values[r1].InitialValue <= 1e+06; Start Value = 0.5
    Affected Experiments:
      all
    1e-06 <= Values[r3].InitialValue <= 1e+06; Start Value = 2
    Affected Experiments:
      all
    1e-06 <= Values[tao].InitialValue <= 1e+06; Start Value = 6
    Affected Experiments:
      all
    1e-06 <= Values[r4_0].InitialValue <= 1e+06; Start Value = 1.35
    Affected Experiments:
      all
    1e-06 <= [STAT5]_0 <= 1e+06; Start Value = 1
    Affected Experiments:
      all

Method: Levenberg - Marquardt
    Iteration Limit: 2000
    Tolerance: 1e-006

[Function Evaluations]	[Best Value]	[Best Parameters]
1	3.12462	(	0.5	2	6	1.35	1	)
8	3.12353	(	0.496193	1.98685	6	1.35	1.02021	)
15	3.1221	(	0.488498	1.96038	6	1.35	1.05008	)
22	3.1203	(	0.472932	1.90663	6	1.35	1.07894	)
29	3.11671	(	0.440359	1.79458	6	1.35	1.07595	)
36	3.10709	(	0.367951	1.54529	6	1.35	1.06894	)
43	3.05727	(	0.187565	0.897457	6	1.35	1.00878	)
51	2.08592	(	0.0604779	1e-006	6	1.35	0.696708	)
66	0.950965	(	0.0604779	0.0371644	6	1.35	0.694261	)
73	0.906972	(	0.0605133	0.0322504	6	1.35	0.693823	)
80	0.874355	(	0.0606088	0.0250139	6	1.35	0.692602	)
87	0.866768	(	0.0608637	0.0245973	6	1.35	0.68877	)
94	0.852148	(	0.0613553	0.0242189	6	1.35	0.68117	)
101	0.829847	(	0.0622543	0.020293	6	1.35	0.666671	)
110	0.824013	(	0.06236	0.0243112	6	1.35	0.6646	)
118	0.820459	(	0.0624038	0.0230243	6	1.35	0.663845	)
125	0.817269	(	0.0624957	0.0221032	6	1.35	0.662196	)
132	0.811499	(	0.0626823	0.0226099	6	1.35	0.658725	)
139	0.806502	(	0.0630289	0.0187854	6	1.35	0.652297	)
148	0.798537	(	0.0630749	0.021207	6	1.35	0.651288	)
155	0.795814	(	0.0631574	0.0214518	6	1.35	0.649639	)
162	0.790595	(	0.0633164	0.0207275	6	1.35	0.646467	)
169	0.782814	(	0.0636296	0.0222656	6	1.35	0.63998	)
178	0.779324	(	0.0636619	0.0208853	6	1.35	0.639328	)
185	0.776846	(	0.0637311	0.0200681	6	1.35	0.637863	)
192	0.77245	(	0.0638723	0.0207097	6	1.35	0.634772	)
200	0.769987	(	0.063937	0.0195747	6	1.35	0.633372	)
207	0.766181	(	0.0640716	0.0206718	6	1.35	0.63032	)
215	0.763576	(	0.0641314	0.0190212	6	1.35	0.629	)
222	0.760892	(	0.0642604	0.0208484	6	1.35	0.625966	)
230	0.757727	(	0.0643148	0.0183829	6	1.35	0.624751	)
237	0.757416	(	0.0644391	0.0213337	6	1.35	0.621703	)
245	0.752604	(	0.0644871	0.0176638	6	1.35	0.620628	)
253	0.750159	(	0.0645172	0.0187891	6	1.35	0.619855	)
260	0.748268	(	0.0645729	0.0188252	6	1.35	0.618488	)
267	0.744593	(	0.0646814	0.0183899	6	1.35	0.615818	)
274	0.738351	(	0.0648938	0.0190932	6	1.35	0.61045	)
283	0.736696	(	0.0649164	0.0182141	6	1.35	0.609881	)
290	0.735042	(	0.0649643	0.0178648	6	1.35	0.608635	)
297	0.731891	(	0.0650602	0.0180661	6	1.35	0.606094	)
304	0.728958	(	0.0652398	0.0155875	6	1.35	0.601334	)
313	0.724953	(	0.0652641	0.0173739	6	1.35	0.600601	)
320	0.723522	(	0.0653063	0.0172179	6	1.35	0.599426	)
327	0.720734	(	0.0653898	0.0171417	6	1.35	0.59708	)
334	0.715663	(	0.0655496	0.0161939	6	1.35	0.592538	)
342	0.714956	(	0.065628	0.0180068	6	1.35	0.590179	)
350	0.713034	(	0.0656589	0.0153184	6	1.35	0.589306	)
358	0.711139	(	0.0656785	0.0164244	6	1.35	0.588683	)
365	0.709973	(	0.0657137	0.016305	6	1.35	0.58762	)
372	0.707701	(	0.0657832	0.0162074	6	1.35	0.585504	)
379	0.703483	(	0.0659166	0.0155048	6	1.35	0.581396	)
387	0.702315	(	0.0659814	0.0166727	6	1.35	0.579307	)
395	0.701153	(	0.0660082	0.0147527	6	1.35	0.578479	)
403	0.699912	(	0.0660244	0.0155984	6	1.35	0.57793	)
410	0.698969	(	0.0660538	0.0154701	6	1.35	0.576975	)
417	0.697136	(	0.066112	0.0154295	6	1.35	0.575069	)
424	0.693955	(	0.0662231	0.0145163	6	1.35	0.571399	)
433	0.693231	(	0.066237	0.0150488	6	1.35	0.57091	)
440	0.692425	(	0.066263	0.0149427	6	1.35	0.570026	)
447	0.690856	(	0.0663142	0.0148848	6	1.35	0.568265	)
454	0.68805	(	0.0664124	0.0141551	6	1.35	0.564864	)
463	0.687524	(	0.0664246	0.0145505	6	1.35	0.56442	)
470	0.686836	(	0.0664475	0.0144508	6	1.35	0.563604	)
477	0.685501	(	0.0664928	0.0144047	6	1.35	0.561977	)
484	0.683154	(	0.0665794	0.0136806	6	1.35	0.558842	)
493	0.682665	(	0.0665903	0.0141013	6	1.35	0.558429	)
500	0.68208	(	0.0666105	0.0139896	6	1.35	0.557678	)
507	0.680951	(	0.0666507	0.0139929	6	1.35	0.556175	)
514	0.679258	(	0.066727	0.013032	6	1.35	0.553309	)
523	0.678543	(	0.066737	0.0137144	6	1.35	0.552906	)
530	0.678048	(	0.0667549	0.0135382	6	1.35	0.552221	)
537	0.677128	(	0.0667907	0.0137076	6	1.35	0.550825	)
545	0.676675	(	0.0668072	0.0132194	6	1.35	0.550186	)
552	0.67632	(	0.0668425	0.0140992	6	1.35	0.548783	)
560	0.675977	(	0.0668564	0.0125146	6	1.35	0.54825	)
568	0.675081	(	0.0668657	0.013362	6	1.35	0.547863	)
575	0.674665	(	0.0668814	0.0131263	6	1.35	0.547238	)
582	0.673955	(	0.0669136	0.0134562	6	1.35	0.545942	)
590	0.673593	(	0.0669278	0.0127226	6	1.35	0.545376	)
598	0.673257	(	0.0669359	0.0130941	6	1.35	0.545041	)
605	0.672879	(	0.0669507	0.0129752	6	1.35	0.544438	)
612	0.67216	(	0.0669804	0.0130525	6	1.35	0.543224	)
619	0.671856	(	0.0670359	0.0117698	6	1.35	0.540958	)
628	0.670613	(	0.0670441	0.0128673	6	1.35	0.540594	)
