Network,    Time,   ErkActive,  SigmaErkActive, MekActive, SigmaMekActive
NGFstim50 , 2,      0.375,      0.05          , 0.4      , 0.1
          , 5,      1.8,        0.3           , 3.7      , 0.37
          , 15,     1.13,       0.113         , 3.5      , 0.4
          , 30,     1.4,        0.14          , 4.1      , 0.41
          , 60,     1.3,        0.13          , 3.75     , 0.5
          , 90,     0.8,        0.13          , 3.1      , 0.31
