Network,            Time,   ErkActive,  SigmaErkActive, MekActive, SigmaMekActive
EGFRx50_EGFstim100, 2,      1.25,       0.25          , 0.9      , 0.1
                  , 5,      3.5,        0.35          , 2.25     , 0.25
                  , 15,     3.3,        0.35          , 0.8      , 0.1
                  , 30,     2.5,        0.25          , 0.4      , 0.1
                  , 60,     2.0,        0.25          , 0.35     , 0.1
                  , 90,     1.4,        0.14          , 0.375    , 0.05
