1.96666e-02 2.68018e-04 -2.29772e-05 -3.62176e-10 -5.10285e-04 -2.13208e-04 3.42227e-06 -4.57429e-05 4.39920e-05 -3.73795e-06 5.53699e-04
2.68018e-04 1.12902e-01 -4.92713e-03 -8.64835e-08 -1.06491e-01 -4.44318e-02 7.15205e-04 -9.47894e-03 9.22449e-03 -8.02271e-04 1.16372e-01
-2.29772e-05 -4.92713e-03 3.15076e-01 9.69606e-09 9.26230e-03 3.36749e-03 -6.55589e-02 7.32120e-04 -7.05215e-04 3.11128e-01 -8.95248e-03
-3.62176e-10 -8.64835e-08 9.69606e-09 6.86664e-11 2.12845e-07 1.38590e-07 -1.37528e-09 9.30242e-08 -1.70259e-08 -1.05397e-09 -1.40364e-07
-5.10285e-04 -1.06491e-01 9.26230e-03 2.12845e-07 2.77608e-01 1.10506e-01 -1.38208e-03 2.29280e-02 -2.33741e-02 2.01765e-03 -2.97724e-01
-2.13208e-04 -4.44318e-02 3.36749e-03 1.38590e-07 1.10506e-01 3.14687e-01 -5.01560e-04 9.82556e-03 -5.42585e-02 7.66414e-04 1.43515e-01
3.42227e-06 7.15205e-04 -6.55589e-02 -1.37528e-09 -1.38208e-03 -5.01560e-04 1.41337e-02 -1.08769e-04 1.05095e-04 -6.49742e-02 1.33466e-03
-4.57429e-05 -9.47894e-03 7.32120e-04 9.30242e-08 2.29280e-02 9.82556e-03 -1.08769e-04 2.19411e-03 -2.03379e-03 1.51567e-04 -2.56598e-02
4.39920e-05 9.22449e-03 -7.05215e-04 -1.70259e-08 -2.33741e-02 -5.42585e-02 1.05095e-04 -2.03379e-03 9.99114e-03 -1.63669e-04 -1.79346e-02
-3.73795e-06 -8.02271e-04 3.11128e-01 -1.05397e-09 2.01765e-03 7.66414e-04 -6.49742e-02 1.51567e-04 -1.63669e-04 3.17910e-01 -2.10421e-03
5.53699e-04 1.16372e-01 -8.95248e-03 -1.40364e-07 -2.97724e-01 1.43515e-01 1.33466e-03 -2.56598e-02 -1.79346e-02 -2.10421e-03 6.07461e-01
