NoName[Time]	STAT5[Concentration]	STAT5p[Concentration]	STAT5p2c[Concentration]	data1[Concentration]	data2[Concentration]	frac_v1[Concentration]	frac_v2[Concentration]	frac_v4[Concentration]	STAT5p2n[Concentration]	frac_v3[Concentration]	Cytoplasm[Volume]	Nucleus[Volume]	r1[Value]	r3[Value]	r4[Value]	D[Value]	tao[Value]	r4_0[Value]	v1_0[Value]	smooth_D[Value]	smooth_D_slope[Value]	smooth_D_offset[Value]
0	1	0	0	0	1	0.840336	0	0	0	0	1	1	0.5	2	0	0	6	1.35	1.19	0	0.06385	0
1	0.383755	0.473855	0.0485259	0.570907	0.954662	0.322484	0.398197	0.0380992	0.0226691	0.0815561	1	1	0.5	2	0	0.06385	6	1.35	1.19	0.06385	0.06385	0
2	0.0216879	0.388511	0.0955767	0.579664	0.601352	0.0182251	0.32648	0.334998	0.199324	0.160633	1	1	0.5	2	0	0.1277	6	1.35	1.19	0.1277	0.06385	0
3	0.000180505	0.228073	0.0459904	0.320053	0.320234	0.000151685	0.191658	0.571232	0.339883	0.0772947	1	1	0.5	2	0	0.19155	6	1.35	1.19	0.19155	0.06385	0
4	2.21234e-007	0.156726	0.0199415	0.196609	0.19661	1.85911e-007	0.131703	0.675118	0.401695	0.0335152	1	1	0.5	2	0	0.2554	6	1.35	1.19	0.2554	0.06385	0
5	1.86996e-010	0.119324	0.0101135	0.139551	0.139551	1.5714e-010	0.100272	0.723066	0.430224	0.0169975	1	1	0.5	2	0	0.31925	6	1.35	1.19	0.31925	0.06385	0
6	-4.11394e-012	0.0963341	0.00601275	0.10836	0.10836	-3.4571e-012	0.080953	0.749278	0.44582	0.0101055	1	1	0.5	2	0	0.3831	6	1.35	1.19	0.3831	0.06385	0
7	2.00135e-010	0.0807719	0.00399555	0.088763	0.088763	1.6818e-010	0.0678756	0.765745	0.455618	0.00671521	1	1	0.5	2	0	0.44695	6	1.35	1.19	0.44695	0.06385	0
8	9.41688e-012	0.0695384	0.00285694	0.0752523	0.0752523	7.91335e-012	0.0584356	0.777099	0.462374	0.00480157	1	1	0.5	2	0	0.5108	6	1.35	1.19	0.5108	0.06385	0
9	-2.61619e-011	0.061048	0.00214814	0.0653443	0.0653443	-2.19848e-011	0.0513009	0.785425	0.467328	0.00361033	1	1	0.5	2	0	0.57465	6	1.35	1.19	0.57465	0.06385	0
10	6.6104e-014	0.0544054	0.00167546	0.0577563	0.0577563	5.55496e-014	0.0457188	0.791801	0.471122	0.0028159	1	1	0.5	2	0	0.6385	6	1.35	1.19	0.6385	0.06385	0
11	-3.783e-012	0.0490664	0.00134392	0.0517543	0.0517543	-3.17899e-012	0.0412323	0.796845	0.474123	0.00225869	1	1	0.5	2	0	0.70235	6	1.35	1.19	0.70235	0.06385	0
12	1.31629e-012	0.0446817	0.0011022	0.0468861	0.0468861	1.10613e-012	0.0375476	0.800936	0.476557	0.00185243	1	1	0.5	2	0	0.7662	6	1.35	1.19	0.7662	0.06385	0
13	-5.97833e-011	0.0410163	0.000920444	0.0428572	0.0428572	-5.0238e-011	0.0344675	0.804322	0.478571	0.00154696	1	1	0.5	2	0	0.83005	6	1.35	1.19	0.83005	0.06385	0
14	-3.77743e-011	0.0379067	0.000780297	0.0394673	0.0394673	-3.17431e-011	0.0318544	0.80717	0.480266	0.00131142	1	1	0.5	2	0	0.8939	6	1.35	1.19	0.8939	0.06385	0
15	4.85061e-012	0.0352354	0.000669937	0.0365753	0.0365753	4.07614e-012	0.0296096	0.809601	0.481712	0.00112594	1	1	0.5	2	0	0.95775	6	1.35	1.19	0.95775	0.06385	0
16	4.61987e-012	0.0329158	0.000581469	0.0340787	0.0340787	3.88224e-012	0.0276603	0.811699	0.482961	0.000977259	1	1	0.5	2	0	1.0216	6	1.35	1.19	1.0216	0.06385	0
17	1.87728e-011	0.0308827	0.000509457	0.0319017	0.0319017	1.57755e-011	0.0259519	0.813528	0.484049	0.00085623	1	1	0.5	2	0	1.08545	6	1.35	1.19	1.08545	0.06385	0
18	9.21313e-011	0.0290862	0.000450053	0.0299863	0.0299863	7.74212e-011	0.0244422	0.815138	0.485007	0.000756391	1	1	0.5	2	0	1.1493	6	1.35	1.19	1.1493	0.06385	0
19	-4.60822e-011	0.0274872	0.000400474	0.0282882	0.0282882	-3.87245e-011	0.0230985	0.816565	0.485856	0.000673065	1	1	0.5	2	0	1.21315	6	1.35	1.19	1.21315	0.06385	0
20	1.29834e-010	0.0260549	0.000358665	0.0267722	0.0267722	1.09104e-010	0.0218948	0.817838	0.486614	0.000602798	1	1	0.5	2	0	1.277	6	1.35	1.19	1.277	0.06385	0
21	-2.93393e-010	0.0247644	0.000323082	0.0254106	0.0254106	-2.46549e-010	0.0208104	0.818983	0.487295	0.000542994	1	1	0.5	2	0	1.34085	6	1.35	1.19	1.34085	0.06385	0
22	-3.29391e-013	0.0235957	0.000292546	0.0241808	0.0241808	-2.76799e-013	0.0198283	0.820016	0.48791	0.000491675	1	1	0.5	2	0	1.4047	6	1.35	1.19	1.4047	0.06385	0
23	-3.45482e-012	0.0225324	0.000266147	0.0230647	0.0230647	-2.90321e-012	0.0189348	0.820954	0.488468	0.000447305	1	1	0.5	2	0	1.46855	6	1.35	1.19	1.46855	0.06385	0
24	-6.08096e-013	0.0215608	0.000243167	0.0220471	0.0220471	-5.11005e-013	0.0181183	0.821809	0.488976	0.000408685	1	1	0.5	2	0	1.5324	6	1.35	1.19	1.5324	0.06385	0
25	4.61928e-014	0.0206695	0.000223042	0.0211156	0.0211156	3.88175e-014	0.0173693	0.822592	0.489442	0.000374861	1	1	0.5	2	0	1.59625	6	1.35	1.19	1.59625	0.06385	0
26	-9.31355e-013	0.0198489	0.000205317	0.0202596	0.0202596	-7.82652e-013	0.0166798	0.823311	0.48987	0.000345071	1	1	0.5	2	0	1.6601	6	1.35	1.19	1.6601	0.06385	0
27	-2.02211e-010	0.0190911	0.000189625	0.0194703	0.0194703	-1.69925e-010	0.0160429	0.823975	0.490265	0.000318697	1	1	0.5	2	0	1.72395	6	1.35	1.19	1.72395	0.06385	0
28	5.29705e-012	0.0183889	0.000175666	0.0187403	0.0187403	4.4513e-012	0.0154529	0.824588	0.49063	0.000295236	1	1	0.5	2	0	1.7878	6	1.35	1.19	1.7878	0.06385	0
29	9.19254e-012	0.0177366	0.000163194	0.018063	0.018063	7.72483e-012	0.0149047	0.825157	0.490968	0.000274275	1	1	0.5	2	0	1.85165	6	1.35	1.19	1.85165	0.06385	0
30	4.3722e-013	0.017129	0.000152005	0.017433	0.017433	3.67412e-013	0.0143941	0.825687	0.491283	0.00025547	1	1	0.5	2	0	1.9155	6	1.35	1.19	1.9155	0.06385	0
31	-1.08049e-013	0.0165616	0.000141928	0.0168455	0.0168455	-9.07977e-014	0.0139173	0.82618	0.491577	0.000238535	1	1	0.5	2	0	1.97935	6	1.35	1.19	1.97935	0.06385	0
32	7.96392e-014	0.0160306	0.000132822	0.0162963	0.0162963	6.69237e-014	0.0134711	0.826642	0.491852	0.000223231	1	1	0.5	2	0	2.0432	6	1.35	1.19	2.0432	0.06385	0
33	1.97249e-013	0.0155326	0.000124565	0.0157818	0.0157818	1.65755e-013	0.0130526	0.827074	0.492109	0.000209354	1	1	0.5	2	0	2.10705	6	1.35	1.19	2.10705	0.06385	0
34	-6.84982e-014	0.0150647	0.000117055	0.0152988	0.0152988	-5.75615e-014	0.0126594	0.82748	0.492351	0.000196732	1	1	0.5	2	0	2.1709	6	1.35	1.19	2.1709	0.06385	0
35	-2.52232e-013	0.014624	0.000110205	0.0148445	0.0148445	-2.11959e-013	0.0122891	0.827862	0.492578	0.000185218	1	1	0.5	2	0	2.23475	6	1.35	1.19	2.23475	0.06385	0
36	2.06421e-013	0.0142085	0.000103939	0.0144164	0.0144164	1.73463e-013	0.0119399	0.828222	0.492792	0.000174687	1	1	0.5	2	0	2.2986	6	1.35	1.19	2.2986	0.06385	0
37	-1.33525e-013	0.0138159	9.81921e-005	0.0140123	0.0140123	-1.12206e-013	0.01161	0.828561	0.492994	0.000165029	1	1	0.5	2	0	2.36245	6	1.35	1.19	2.36245	0.06385	0
38	-7.20597e-014	0.0134444	9.29094e-005	0.0136302	0.0136302	-6.05544e-014	0.0112978	0.828882	0.493185	0.00015615	1	1	0.5	2	0	2.4263	6	1.35	1.19	2.4263	0.06385	0
39	-3.16925e-013	0.0130923	8.8042e-005	0.0132684	0.0132684	-2.66323e-013	0.011002	0.829186	0.493366	0.00014797	1	1	0.5	2	0	2.49015	6	1.35	1.19	2.49015	0.06385	0
40	3.49442e-013	0.0127583	8.35473e-005	0.0129254	0.0129254	2.93649e-013	0.0107212	0.829474	0.493537	0.000140416	1	1	0.5	2	0	2.554	6	1.35	1.19	2.554	0.06385	0
41	-4.99628e-014	0.0124408	7.93883e-005	0.0125996	0.0125996	-4.19855e-014	0.0104545	0.829748	0.4937	0.000133426	1	1	0.5	2	0	2.61785	6	1.35	1.19	2.61785	0.06385	0
42	-1.4793e-012	0.0121388	7.55323e-005	0.0122899	0.0122899	-1.24311e-012	0.0102007	0.830009	0.493855	0.000126945	1	1	0.5	2	0	2.6817	6	1.35	1.19	2.6817	0.06385	0
43	1.00885e-011	0.0118511	7.19506e-005	0.011995	0.011995	8.47775e-012	0.00995889	0.830256	0.494003	0.000120925	1	1	0.5	2	0	2.74555	6	1.35	1.19	2.74555	0.06385	0
44	-5.22385e-011	0.0115767	6.86179e-005	0.0117139	0.0117139	-4.38979e-011	0.00972831	0.830493	0.494143	0.000115324	1	1	0.5	2	0	2.8094	6	1.35	1.19	2.8094	0.06385	0
45	2.10222e-010	0.0113147	6.55114e-005	0.0114457	0.0114457	1.76657e-010	0.00950816	0.830718	0.494277	0.000110103	1	1	0.5	2	0	2.87325	6	1.35	1.19	2.87325	0.06385	0
46	-3.60924e-010	0.0110643	6.26113e-005	0.0111896	0.0111896	-3.03297e-010	0.00929776	0.830933	0.494405	0.000105229	1	1	0.5	2	0	2.9371	6	1.35	1.19	2.9371	0.06385	0
47	1.18421e-011	0.0108248	5.98996e-005	0.0109446	0.0109446	9.95137e-012	0.00909647	0.831139	0.494528	0.000100672	1	1	0.5	2	0	3.00095	6	1.35	1.19	3.00095	0.06385	0
48	2.36354e-013	0.0105954	5.73603e-005	0.0107101	0.0107101	1.98616e-013	0.0089037	0.831336	0.494645	9.64039e-005	1	1	0.5	2	0	3.0648	6	1.35	1.19	3.0648	0.06385	0
49	4.94399e-014	0.0103755	5.49792e-005	0.0104855	0.0104855	4.15462e-014	0.00871894	0.831525	0.494757	9.2402e-005	1	1	0.5	2	0	3.12865	6	1.35	1.19	3.12865	0.06385	0
50	-1.37709e-017	0.0101646	5.27433e-005	0.0102701	0.0102701	-1.15722e-017	0.00854169	0.831706	0.494865	8.86442e-005	1	1	0.5	2	0	3.1925	6	1.35	1.19	3.1925	0.06385	0
51	1.22224e-017	0.00996209	5.06411e-005	0.0100634	0.0100634	1.02709e-017	0.00837151	0.83188	0.494968	8.51111e-005	1	1	0.5	2	0	3.25635	6	1.35	1.19	3.25635	0.06385	0
52	1.03652e-016	0.00976749	4.86622e-005	0.00986481	0.00986481	8.71029e-017	0.00820797	0.832046	0.495068	8.17852e-005	1	1	0.5	2	0	3.3202	6	1.35	1.19	3.3202	0.06385	0
53	1.56626e-017	0.00958033	4.6797e-005	0.00967393	0.00967393	1.31618e-017	0.0080507	0.832207	0.495163	7.86504e-005	1	1	0.5	2	0	3.38405	6	1.35	1.19	3.38405	0.06385	0
54	1.84304e-017	0.00940022	4.5037e-005	0.00949029	0.00949029	1.54877e-017	0.00789934	0.832361	0.495255	7.56925e-005	1	1	0.5	2	0	3.4479	6	1.35	1.19	3.4479	0.06385	0
55	8.55592e-017	0.00922675	4.33746e-005	0.0093135	0.0093135	7.18985e-017	0.00775357	0.83251	0.495343	7.28984e-005	1	1	0.5	2	0	3.51175	6	1.35	1.19	3.51175	0.06385	0
56	-3.33286e-016	0.00905957	4.18025e-005	0.00914318	0.00914318	-2.80073e-016	0.00761308	0.832653	0.495428	7.02562e-005	1	1	0.5	2	0	3.5756	6	1.35	1.19	3.5756	0.06385	0
57	1.22554e-015	0.00889834	4.03143e-005	0.00897897	0.00897897	1.02987e-015	0.0074776	0.832791	0.495511	6.77551e-005	1	1	0.5	2	0	3.63945	6	1.35	1.19	3.63945	0.06385	0
58	-2.13803e-015	0.00874275	3.89042e-005	0.00882056	0.00882056	-1.79666e-015	0.00734685	0.832924	0.49559	6.53853e-005	1	1	0.5	2	0	3.7033	6	1.35	1.19	3.7033	0.06385	0
59	2.23685e-014	0.0085925	3.75669e-005	0.00866764	0.00866764	1.87971e-014	0.00722059	0.833052	0.495666	6.31376e-005	1	1	0.5	2	0	3.76715	6	1.35	1.19	3.76715	0.06385	0
60	-1.11194e-014	0.00844734	3.62973e-005	0.00851993	0.00851993	-9.34399e-015	0.0070986	0.833177	0.49574	6.10039e-005	1	1	0.5	2	0	3.831	6	1.35	1.19	3.831	0.06385	0
NoName[Time]	STAT5[Concentration]	STAT5p[Concentration]	STAT5p2c[Concentration]	data1[Concentration]	data2[Concentration]	frac_v1[Concentration]	frac_v2[Concentration]	frac_v4[Concentration]	STAT5p2n[Concentration]	frac_v3[Concentration]	Cytoplasm[Volume]	Nucleus[Volume]	r1[Value]	r3[Value]	r4[Value]	D[Value]	tao[Value]	r4_0[Value]	v1_0[Value]	smooth_D[Value]	smooth_D_slope[Value]	smooth_D_offset[Value]
0	1	0	0	0	1	1	0	0	0	0	1	1	0.5	2	0	0	6	1.35	1	0	0.06385	0
1	0.383755	0.473855	0.0485259	0.570907	0.954662	0.383755	0.473855	0.0453381	0.0226691	0.0970517	1	1	0.5	2	0	0.06385	6	1.35	1	0.06385	0.06385	0
2	0.0216879	0.388511	0.0955767	0.579664	0.601352	0.0216879	0.388511	0.398648	0.199324	0.191153	1	1	0.5	2	0	0.1277	6	1.35	1	0.1277	0.06385	0
3	0.000180505	0.228073	0.0459904	0.320053	0.320234	0.000180505	0.228073	0.679766	0.339883	0.0919807	1	1	0.5	2	0	0.19155	6	1.35	1	0.19155	0.06385	0
4	2.21234e-007	0.156726	0.0199415	0.196609	0.19661	2.21234e-007	0.156726	0.80339	0.401695	0.039883	1	1	0.5	2	0	0.2554	6	1.35	1	0.2554	0.06385	0
5	1.86996e-010	0.119324	0.0101135	0.139551	0.139551	1.86996e-010	0.119324	0.860449	0.430224	0.020227	1	1	0.5	2	0	0.31925	6	1.35	1	0.31925	0.06385	0
6	-4.11394e-012	0.0963341	0.00601275	0.10836	0.10836	-4.11394e-012	0.0963341	0.89164	0.44582	0.0120255	1	1	0.5	2	0	0.3831	6	1.35	1	0.3831	0.06385	0
7	2.00135e-010	0.0807719	0.00399555	0.088763	0.088763	2.00135e-010	0.0807719	0.911237	0.455618	0.0079911	1	1	0.5	2	0	0.44695	6	1.35	1	0.44695	0.06385	0
8	9.41688e-012	0.0695384	0.00285694	0.0752523	0.0752523	9.41688e-012	0.0695384	0.924748	0.462374	0.00571387	1	1	0.5	2	0	0.5108	6	1.35	1	0.5108	0.06385	0
9	-2.61619e-011	0.061048	0.00214814	0.0653443	0.0653443	-2.61619e-011	0.061048	0.934656	0.467328	0.00429629	1	1	0.5	2	0	0.57465	6	1.35	1	0.57465	0.06385	0
10	6.6104e-014	0.0544054	0.00167546	0.0577563	0.0577563	6.6104e-014	0.0544054	0.942244	0.471122	0.00335092	1	1	0.5	2	0	0.6385	6	1.35	1	0.6385	0.06385	0
11	-3.783e-012	0.0490664	0.00134392	0.0517543	0.0517543	-3.783e-012	0.0490664	0.948246	0.474123	0.00268784	1	1	0.5	2	0	0.70235	6	1.35	1	0.70235	0.06385	0
12	1.31629e-012	0.0446817	0.0011022	0.0468861	0.0468861	1.31629e-012	0.0446817	0.953114	0.476557	0.00220439	1	1	0.5	2	0	0.7662	6	1.35	1	0.7662	0.06385	0
13	-5.97833e-011	0.0410163	0.000920444	0.0428572	0.0428572	-5.97833e-011	0.0410163	0.957143	0.478571	0.00184089	1	1	0.5	2	0	0.83005	6	1.35	1	0.83005	0.06385	0
14	-3.77743e-011	0.0379067	0.000780297	0.0394673	0.0394673	-3.77743e-011	0.0379067	0.960533	0.480266	0.00156059	1	1	0.5	2	0	0.8939	6	1.35	1	0.8939	0.06385	0
15	4.85061e-012	0.0352354	0.000669937	0.0365753	0.0365753	4.85061e-012	0.0352354	0.963425	0.481712	0.00133987	1	1	0.5	2	0	0.95775	6	1.35	1	0.95775	0.06385	0
16	4.61987e-012	0.0329158	0.000581469	0.0340787	0.0340787	4.61987e-012	0.0329158	0.965921	0.482961	0.00116294	1	1	0.5	2	0	1.0216	6	1.35	1	1.0216	0.06385	0
17	1.87728e-011	0.0308827	0.000509457	0.0319017	0.0319017	1.87728e-011	0.0308827	0.968098	0.484049	0.00101891	1	1	0.5	2	0	1.08545	6	1.35	1	1.08545	0.06385	0
18	9.21313e-011	0.0290862	0.000450053	0.0299863	0.0299863	9.21313e-011	0.0290862	0.970014	0.485007	0.000900105	1	1	0.5	2	0	1.1493	6	1.35	1	1.1493	0.06385	0
19	-4.60822e-011	0.0274872	0.000400474	0.0282882	0.0282882	-4.60822e-011	0.0274872	0.971712	0.485856	0.000800947	1	1	0.5	2	0	1.21315	6	1.35	1	1.21315	0.06385	0
20	1.29834e-010	0.0260549	0.000358665	0.0267722	0.0267722	1.29834e-010	0.0260549	0.973228	0.486614	0.000717329	1	1	0.5	2	0	1.277	6	1.35	1	1.277	0.06385	0
21	-2.93393e-010	0.0247644	0.000323082	0.0254106	0.0254106	-2.93393e-010	0.0247644	0.974589	0.487295	0.000646163	1	1	0.5	2	0	1.34085	6	1.35	1	1.34085	0.06385	0
22	-3.29391e-013	0.0235957	0.000292546	0.0241808	0.0241808	-3.29391e-013	0.0235957	0.975819	0.48791	0.000585093	1	1	0.5	2	0	1.4047	6	1.35	1	1.4047	0.06385	0
23	-3.45482e-012	0.0225324	0.000266147	0.0230647	0.0230647	-3.45482e-012	0.0225324	0.976935	0.488468	0.000532293	1	1	0.5	2	0	1.46855	6	1.35	1	1.46855	0.06385	0
24	-6.08096e-013	0.0215608	0.000243167	0.0220471	0.0220471	-6.08096e-013	0.0215608	0.977953	0.488976	0.000486335	1	1	0.5	2	0	1.5324	6	1.35	1	1.5324	0.06385	0
25	4.61928e-014	0.0206695	0.000223042	0.0211156	0.0211156	4.61928e-014	0.0206695	0.978884	0.489442	0.000446084	1	1	0.5	2	0	1.59625	6	1.35	1	1.59625	0.06385	0
26	-9.31355e-013	0.0198489	0.000205317	0.0202596	0.0202596	-9.31355e-013	0.0198489	0.97974	0.48987	0.000410634	1	1	0.5	2	0	1.6601	6	1.35	1	1.6601	0.06385	0
27	-2.02211e-010	0.0190911	0.000189625	0.0194703	0.0194703	-2.02211e-010	0.0190911	0.98053	0.490265	0.000379249	1	1	0.5	2	0	1.72395	6	1.35	1	1.72395	0.06385	0
28	5.29705e-012	0.0183889	0.000175666	0.0187403	0.0187403	5.29705e-012	0.0183889	0.98126	0.49063	0.000351331	1	1	0.5	2	0	1.7878	6	1.35	1	1.7878	0.06385	0
29	9.19254e-012	0.0177366	0.000163194	0.018063	0.018063	9.19254e-012	0.0177366	0.981937	0.490968	0.000326387	1	1	0.5	2	0	1.85165	6	1.35	1	1.85165	0.06385	0
30	4.3722e-013	0.017129	0.000152005	0.017433	0.017433	4.3722e-013	0.017129	0.982567	0.491283	0.000304009	1	1	0.5	2	0	1.9155	6	1.35	1	1.9155	0.06385	0
31	-1.08049e-013	0.0165616	0.000141928	0.0168455	0.0168455	-1.08049e-013	0.0165616	0.983155	0.491577	0.000283857	1	1	0.5	2	0	1.97935	6	1.35	1	1.97935	0.06385	0
32	7.96392e-014	0.0160306	0.000132822	0.0162963	0.0162963	7.96392e-014	0.0160306	0.983704	0.491852	0.000265644	1	1	0.5	2	0	2.0432	6	1.35	1	2.0432	0.06385	0
33	1.97249e-013	0.0155326	0.000124565	0.0157818	0.0157818	1.97249e-013	0.0155326	0.984218	0.492109	0.000249131	1	1	0.5	2	0	2.10705	6	1.35	1	2.10705	0.06385	0
34	-6.84982e-014	0.0150647	0.000117055	0.0152988	0.0152988	-6.84982e-014	0.0150647	0.984701	0.492351	0.000234111	1	1	0.5	2	0	2.1709	6	1.35	1	2.1709	0.06385	0
35	-2.52232e-013	0.014624	0.000110205	0.0148445	0.0148445	-2.52232e-013	0.014624	0.985156	0.492578	0.00022041	1	1	0.5	2	0	2.23475	6	1.35	1	2.23475	0.06385	0
36	2.06421e-013	0.0142085	0.000103939	0.0144164	0.0144164	2.06421e-013	0.0142085	0.985584	0.492792	0.000207877	1	1	0.5	2	0	2.2986	6	1.35	1	2.2986	0.06385	0
37	-1.33525e-013	0.0138159	9.81921e-005	0.0140123	0.0140123	-1.33525e-013	0.0138159	0.985988	0.492994	0.000196384	1	1	0.5	2	0	2.36245	6	1.35	1	2.36245	0.06385	0
38	-7.20597e-014	0.0134444	9.29094e-005	0.0136302	0.0136302	-7.20597e-014	0.0134444	0.98637	0.493185	0.000185819	1	1	0.5	2	0	2.4263	6	1.35	1	2.4263	0.06385	0
39	-3.16925e-013	0.0130923	8.8042e-005	0.0132684	0.0132684	-3.16925e-013	0.0130923	0.986732	0.493366	0.000176084	1	1	0.5	2	0	2.49015	6	1.35	1	2.49015	0.06385	0
40	3.49442e-013	0.0127583	8.35473e-005	0.0129254	0.0129254	3.49442e-013	0.0127583	0.987075	0.493537	0.000167095	1	1	0.5	2	0	2.554	6	1.35	1	2.554	0.06385	0
41	-4.99628e-014	0.0124408	7.93883e-005	0.0125996	0.0125996	-4.99628e-014	0.0124408	0.9874	0.4937	0.000158777	1	1	0.5	2	0	2.61785	6	1.35	1	2.61785	0.06385	0
42	-1.4793e-012	0.0121388	7.55323e-005	0.0122899	0.0122899	-1.4793e-012	0.0121388	0.98771	0.493855	0.000151065	1	1	0.5	2	0	2.6817	6	1.35	1	2.6817	0.06385	0
43	1.00885e-011	0.0118511	7.19506e-005	0.011995	0.011995	1.00885e-011	0.0118511	0.988005	0.494003	0.000143901	1	1	0.5	2	0	2.74555	6	1.35	1	2.74555	0.06385	0
44	-5.22385e-011	0.0115767	6.86179e-005	0.0117139	0.0117139	-5.22385e-011	0.0115767	0.988286	0.494143	0.000137236	1	1	0.5	2	0	2.8094	6	1.35	1	2.8094	0.06385	0
45	2.10222e-010	0.0113147	6.55114e-005	0.0114457	0.0114457	2.10222e-010	0.0113147	0.988554	0.494277	0.000131023	1	1	0.5	2	0	2.87325	6	1.35	1	2.87325	0.06385	0
46	-3.60924e-010	0.0110643	6.26113e-005	0.0111896	0.0111896	-3.60924e-010	0.0110643	0.98881	0.494405	0.000125223	1	1	0.5	2	0	2.9371	6	1.35	1	2.9371	0.06385	0
47	1.18421e-011	0.0108248	5.98996e-005	0.0109446	0.0109446	1.18421e-011	0.0108248	0.989055	0.494528	0.000119799	1	1	0.5	2	0	3.00095	6	1.35	1	3.00095	0.06385	0
48	2.36354e-013	0.0105954	5.73603e-005	0.0107101	0.0107101	2.36354e-013	0.0105954	0.98929	0.494645	0.000114721	1	1	0.5	2	0	3.0648	6	1.35	1	3.0648	0.06385	0
49	4.94399e-014	0.0103755	5.49792e-005	0.0104855	0.0104855	4.94399e-014	0.0103755	0.989514	0.494757	0.000109958	1	1	0.5	2	0	3.12865	6	1.35	1	3.12865	0.06385	0
50	-1.37709e-017	0.0101646	5.27433e-005	0.0102701	0.0102701	-1.37709e-017	0.0101646	0.98973	0.494865	0.000105487	1	1	0.5	2	0	3.1925	6	1.35	1	3.1925	0.06385	0
51	1.22224e-017	0.00996209	5.06411e-005	0.0100634	0.0100634	1.22224e-017	0.00996209	0.989937	0.494968	0.000101282	1	1	0.5	2	0	3.25635	6	1.35	1	3.25635	0.06385	0
52	1.03652e-016	0.00976749	4.86622e-005	0.00986481	0.00986481	1.03652e-016	0.00976749	0.990135	0.495068	9.73243e-005	1	1	0.5	2	0	3.3202	6	1.35	1	3.3202	0.06385	0
53	1.56626e-017	0.00958033	4.6797e-005	0.00967393	0.00967393	1.56626e-017	0.00958033	0.990326	0.495163	9.3594e-005	1	1	0.5	2	0	3.38405	6	1.35	1	3.38405	0.06385	0
54	1.84304e-017	0.00940022	4.5037e-005	0.00949029	0.00949029	1.84304e-017	0.00940022	0.99051	0.495255	9.00741e-005	1	1	0.5	2	0	3.4479	6	1.35	1	3.4479	0.06385	0
55	8.55592e-017	0.00922675	4.33746e-005	0.0093135	0.0093135	8.55592e-017	0.00922675	0.990686	0.495343	8.67491e-005	1	1	0.5	2	0	3.51175	6	1.35	1	3.51175	0.06385	0
56	-3.33286e-016	0.00905957	4.18025e-005	0.00914318	0.00914318	-3.33286e-016	0.00905957	0.990857	0.495428	8.36049e-005	1	1	0.5	2	0	3.5756	6	1.35	1	3.5756	0.06385	0
57	1.22554e-015	0.00889834	4.03143e-005	0.00897897	0.00897897	1.22554e-015	0.00889834	0.991021	0.495511	8.06286e-005	1	1	0.5	2	0	3.63945	6	1.35	1	3.63945	0.06385	0
58	-2.13803e-015	0.00874275	3.89042e-005	0.00882056	0.00882056	-2.13803e-015	0.00874275	0.991179	0.49559	7.78085e-005	1	1	0.5	2	0	3.7033	6	1.35	1	3.7033	0.06385	0
59	2.23685e-014	0.0085925	3.75669e-005	0.00866764	0.00866764	2.23685e-014	0.0085925	0.991332	0.495666	7.51338e-005	1	1	0.5	2	0	3.76715	6	1.35	1	3.76715	0.06385	0
60	-1.11194e-014	0.00844734	3.62973e-005	0.00851993	0.00851993	-1.11194e-014	0.00844734	0.99148	0.49574	7.25947e-005	1	1	0.5	2	0	3.831	6	1.35	1	3.831	0.06385	0
NoName[Time]	STAT5[Concentration]	STAT5p[Concentration]	STAT5p2c[Concentration]	data1[Concentration]	data2[Concentration]	frac_v1[Concentration]	frac_v2[Concentration]	frac_v4[Concentration]	STAT5p2n[Concentration]	frac_v3[Concentration]	Cytoplasm[Volume]	Nucleus[Volume]	r1[Value]	r3[Value]	r4[Value]	D[Value]	tao[Value]	r4_0[Value]	v1_0[Value]	smooth_D[Value]	smooth_D_slope[Value]	smooth_D_offset[Value]
0	1	0	0	0	1	1	0	0	0	0	1	1	1.#QNAN	1.#QNAN	1.#QNAN	1.#QNAN	6	1.#QNAN	1	1.#QNAN	1.#QNAN	1.#QNAN
1	1.#QNAN	1.#QNAN	1.#QNAN	1.#QNAN	1.#QNAN	1.#QNAN	1.#QNAN	1.#QNAN	1.#QNAN	1.#QNAN	1	1	1.#QNAN	1.#QNAN	1.#QNAN	1.#QNAN	6	1.#QNAN	1	1.#QNAN	1.#QNAN	1.#QNAN
NoName[Time]	STAT5[Concentration]	STAT5p[Concentration]	STAT5p2c[Concentration]	data1[Concentration]	data2[Concentration]	frac_v1[Concentration]	frac_v2[Concentration]	frac_v4[Concentration]	STAT5p2n[Concentration]	frac_v3[Concentration]	Cytoplasm[Volume]	Nucleus[Volume]	r1[Value]	r3[Value]	r4[Value]	D[Value]	tao[Value]	r4_0[Value]	v1_0[Value]	smooth_D[Value]	smooth_D_slope[Value]	smooth_D_offset[Value]
0	1.19	0	0	0	1.19	1	0	0	0	0	1	1	0.5	2	0	1	6	1.35	1.19	1	1	1
1	-1.0751e-010	0.364797	0.12815	0.621098	0.621098	-9.03441e-011	0.306552	0.478069	0.284451	0.215379	1	1	0.5	2	0	2	6	1.35	1.19	2	1	1
2	5.24226e-012	0.210915	0.0452485	0.301412	0.301412	4.40526e-012	0.177239	0.746713	0.444294	0.076048	1	1	0.5	2	0	3	6	1.35	1.19	3	1	1
